,album titles,artists,cleaned_sentences
71,titbit,코어매거진 (COREMAGAZINE),매다 매다 들다 나오다 싶다 사라지다 나오다 들다 넘다 매다 가지다 되어다 만들다 되어다 풍기다 숨다 쌓다 두다 드러나다 맞추다 만들다 돌아보다 찾다 떠받치다 만들다 흐르다 갖추다 부르다 묻다 따다 들다 들어가다
72,OTHERLiiNE,OTHERLiiNE & George Fitzgerald & Lil Silva(릴 실바),만나다 오다 맞다 해내다 크다 가지다 돼다 들리다 가지다 갖추다 나누어지다 담기다 주다
73,Please Excuse Me For Being Antisocial,Roddy Ricch,들다 얻다 벌다 들이다 커지다 틀다 늘다 오가다 만들다 내다 작렬시키다 보이다 돋보이다 내다 엿보다 태어나다 이끌다 자다 나오다
74,Sunlight,젠틀 레인(Gentle Rain),나오다 듣다 해주다 따르다 오다 되어다 넘다 늘다 선보이다 보이다 부르다 보여주다 맞다 되어다 되어다 들다 되어다 채우다 이루다 들어가다 끄덕이다 내다 이어지다 오다 늘다 들리다 늘다
75,사랑으로,혁오 (HYUKOH),자다 알려지다 던지다 담기다 깔다 가져오다 기다 남기다 자다 오다 가다 지나가다 나타나다 떠오르다 바치다 입다 들다 들다 만들다 가다 자다 어울리다
76,Slow Dance,아슬(Aseul),적다 잡히다 선보이다 남기다 내놓다 돋보이다 오다 다듬어지다 넓히다 받다 늘다 잡아끌다 적다 해내다 어우러지다 어우러지다 버리다 돋보이다
77,Plantlife,Andy Compton,떠올리다 담다 바꾸다 살피다 달다 따르다 차이다 두다 선보이다 싶다 해내다 넘다 느끼다 해주다
78,Circles,Mac Miller(맥 밀러),늘다 나오다 늘다 되어다 해오다 해주다 기울이다 지다 지니다 맡다 지니다 돼다 어우러지다 더불다 크다 잡아끌다 서리다 밝아지다 띄다 누르다 견디다 빠져들다 엿보다
79,너와 나,루시드폴,기다리다 차다 잊다 지내다 찾아오다 기다리다 나르다 추다 되어다 찍다 바라보다 만들다 가두다 갈다 끄다 가져오다 씹다 만들다 거치다 만들다 만들다 오다 스치다 띄다 쓸다 떠올리다 가다 만들다 뛰다 나오다 차다 어울리다 들다 맞다 싶다
80,Beautiful days,밴드기린 (Bandgirin),담다 내다 엿보다 담다 나타내다 해내다 떠올리다 가다
81,I,OurR(아월),거치다 넘다 나다 늘어나다 들다 나오다 챙기다 듣다 싶다 이루어지다 가다 나오다 들다 읽다 돋보이다 허다 크다 빠져들다 기다 듣다 잡아내다 들다 손꼽다 들다 해보다 바라다
82,SONGBOOK,윤석철 트리오(SC Yun's Trio),넘다 찾다 듣다 받다 지다 넘다 이끌다 옮기다 지키다 보여주다 만들다 맞추다 쉬다 여기다 이어지다 실리다 살다 만들다 크다 알아차리다 모르다 어리다 닦다 열리다 재다
83,VINIOR Vol. 002,Various Artists,앞세우다 되어다 돋보이다 선보이다 끄다 잦다 춤추다 만나다 쏟아지다 나오다 듣다 만들다 걸리다 맞다 늘다 가다 머물다 춤추다 치우치다 늘다 앞세우다 늘다 쪼개다 달구다 때리다 박다 거치다 뽐내다 더불다 가다 선보이다 펼치다 돼다 만들다 그치다 접다 들다 쉬다 나오다
84,토닥토닥 (Full Album),어른아이(Adultchild),어르다 돌아오다 돌다 돌아오다 살리다 내다 내다 숨기다 담다 밝다 담다 내미다 닫다 버리다 건네다 가지다 어르다 바라보다 어르다 다가오다 머무르다 잃다 말다 풀다 내다
85,FLAME,BLNK,짓다 감다 지니다 나오다 늘다 만들어지다 나타내다 짓다 올려놓다 나오다 걸리다 흐르다 높아지다 되어다 띄다 섞이다 품다 모이다 지니다 나오다 허다 되어다 손꼽다 돼다 익다 되어다 풀다 내다 듣다 자아내다 지나다
86,We're dreaming,The Funcity(펀시티),모르다 치다 끄다 솟구치다 만들다 듣다 듣다 터지다 들다 도르다 빛나다 드러내다 쓸다 나오다 추다 드러내다 크다 어울리다 내다 넣다 다니다 듣다 들다 알려지다 바라다
87,Live At Tone Studio,김성화 그룹(Kim Seong Hwa Group),보여주다 이끌다 갈다 띄다 뛰어넘다 내다 두다 보여주다 이끌다 띄다 되어다 잃다 받다 보내다 찾아보다 즐기다 살리다 보여주다 내다 도르다 실리다 늘다 이끌다 던지다 도드라지다 펼치다 치닫다 늘다 해주다 주다 받다 달구다 가다 흐르다 보여주다
88,HYPER ROMANCE Vol. 1,Various Artists,가다 넘다 올리다 짜이다 돼다 오다 펼치다 쫓다 싶다 펼치다 내다 가지다 놓다 알리다 담기다
89,Serenade,선우정아(Sunwoojunga),되돌아보다 넘다 갖추다 내다 두다 가로지르다 따르다 뒤틀다 버리다 안기다 나아가다 늘다 나오다 따다 자아내다 기다리다 지니다 늘다
90,Every letter I sent you.,백예린 (Yerin Baek),늘다 대다 벗어나다 선보이다 더불다 뛰어넘다 되어다 아로새기다 다지다 자아내다 오다 오다 바치다 빛나다 흐르다 추다 빼놓다 받다
91,3,향니,내려놓다 놀다 바꾸다 들다 지다 띄다 넘다 말다 가다 끌어안다 받다 되어다 가벼워지다 가르치다 내려놓다 놀다 세우다 자다 살리다 내다 어울리다 들다
92,Step into my mind,노태헌(Taeheon Noh),꿰뚫다 이어지다 잇다 이끌다 잇다 사르다 돌아보다 만들다 내다 들어가다 익히다 선보이다 맞다 펼쳐지다 싶다 자다 늘다 떠오르다 잠기다 얻다 앞서다 살리다 헤어지다 떠나다 스며들다 담다 어긋나다 맞다 물리다 가다 주다 해내다 듣다 들다
93,LUCID,JIDA(지다),어울리다 비다 적다 돼다 달라지다 오다 쏟아지다 추워지다 듣다 돋보이다 되어다 이끌다 갖추다 흘러가다 가지다 써다 내려가다 어울리다 지니다 듣다 베다 선보이다
94,누워버릴까,잠비노 (Jambino),눕다 버리다 받다 떠오르다 들여다보다 쏟아지다 받다 포개다 끌다 올리다 짜다 이어지다 듣다
95,초심 (初心),김훨,다루다 느껴지다 담다 내다 돋보이다 떠올리다 선보이다 펼치다 내다 보여주다 다루다 펼치다
96,서울시 여러분,9와 숫자들,오다 조이다 갖다 그리다 오다 오다 내다 살아가다 잃어버리다 틀어박히다 밀리다 비추다 맞추다 바라보다 놓치다 들려주다 찾다 느껴지다 바라다 써다 늘다 쉬다 느껴지다 되어다 드러내다 살펴보다 오다 건드리다 내미다 바뀌다
97,무경계,COSMOS,돌아오다 맞다 이루다 내다 스치다 알다 주다 떠올리다 늘다 감다 따르다 들려주다 돼다 늘다 더불다
98,Escape,The Deep,흘러가다 사라지다 늘어나다 잡아끌다 듣다 가다 닿다 지니다 들다 벗어나다 자다 어우러지다 따르다 이루어지다 다가오다 끌다 내다
99,"김현철 10집 ""돛""",김현철,느껴지다 돌아오다 채우다 들이다 느껴지다 듣다 느끼다 더불다 불리다 받다 두르다 읽히다 해오다 두다 감사하다 채우다 지니다 되새기다 모이다 묻다 오다 떠나다 어리다 생각나다 해오다 내다 부르다 느껴지다
100,"Oh, Two Animals",오칠(Oh Chill),두드리다 내다 찾다 느끼다 들르다 건네다 만들어지다 되어다 들다 떠나다 건너오다 사라지다 쉬다 몰아치다 되어다 늘다 사로자다 담다 느껴지다 듣다 싶다 집다 쉬다 드러내다 가다 사라지다 들다 내놓다 빌리다 사귀다 만나다 쓰이다 들다 만들다 되어다 들다 되어다 거치다 담기다 옮기다 늘다 달구다 쓰다
101,Chronology Of A Dream: Live At The Village Vanguard,Jon Batiste,돌아보다 빌리다 나오다 빌리다 가지다 빌리다 이어지다 빌리다 맞추다 만들다 떠나다 크다 가다 흐르다 쌓이다 찾다 크다 느끼다 들다 돌아보다 되어다 빌리다 이어지다 가다 나누다 돌아보다
102,RENDEZ-VOUS,임현식 (비투비),엿보다 돋보이다 드러내다 인정받다 선보이다 모으다 늘다 선보이다 내보이다 알리다 오다 선보이다 돋보이다 늘다 어우러지다 엿보다
103,DEFINITION OF METHOD,메써드(Method),가두다 보이다 도드라지다 메다 이루다 늘다 펼쳐지다 크다 늘다 모으다 보여주다 걸어오다 늘다 비다 덜다 내다 늘다 튀어나오다 드러내다 알아보다 메다 들다 해내다 되어다 나아가다 차다 넣다 자다 쓰이다 느껴지다 들다 권하다
104,Connexion [Jamais vu Remix],KONA,주다 크다 밟다 나가다 넘다 번뜩이다 불다 내다 들려주다 가지다 펼치다 내다 알다
105,살아 (SARA),얼돼(Errday Jinju),돼다 이루다 돼다 살다 받다 지다 흐르다 돼다 살다 이루다 오가다 돼다 아우르다 자아내다 끌다 들이다 이어지다 듣다 주다 오다 차오르다 오다 살다 돋보이다 이루다 파다 보내다 주다 막히다 자다 이어지다 느껴지다 자다 짜이다 돼다 살다 자다 모르다 넘기다
106,Your Portrait,강윤미,만들어지다 묶다 놓다 오다 넘다 얻다 받다 늘다 받다 추다 주다 담기다 만들다 만들다 가다 되어다 늘다 얻다 늘다 그리다 그리다 되어다 담기다 쓰다 내놓다 자르다 늘다 주다 쓸다 느껴지다 뜨다
107,Purpose - The 2nd Album,태연 (TAEYEON),넘다 들다 받다 해내다 알다 뽐내다 돋보이다 늘다 보여주다 오다 맞다 물리다 이어지다 줄어들다 파고들다 나타나다 해내다 나아가다
108,Everyday Life,Coldplay(콜드플레이),젓다 돕다 떠나다 묻다 놀다 차오르다 빠지다 잡다 죽다 맞다 듣다 들다 들다 흘리다 미우다 움직이다 높이다 늘다 사르다 들다 나오다 늘다 파고들다 보이다 다가오다 싶다 끊다 버리다 돋보이다 나오다 흐르다
109,Good Faith,Madeon(마데온),들이다 들다 오다 기다리다 갖다 맞추다 가다 느끼다 걸다 들려주다 들이다 막히다 맞추다 펼치다 불러일으키다 모르다
110,The Baker,비앙(Viann),풀다 받다 잊다 말다 드러나다 만들다 해오다 드러내다 되어다 지니다 받다 넘다 들다 해오다 풀다 자아내다 포개다 적다 남기다 해오다 느끼다
111,나의 놀이터,강현규,살리다 담다 풀다 다가가다 크다 주다 살리다 담다 풀다 내다 해오다 얻다 만들다 오다 겪다 따르다 일어나다 새다 느껴지다 만들다 내다 받치다 지키다 들어가다 어리다 담다 바라보다 해내다 실리다 담다 갖추다 쌓다 담다
112,나의 모양,권진아,어리다 지니다 선보이다 찾다 나가다 보여주다 맞추다 나타나다 이끌다 시들다 늦다 돋보이다 오다 더불다 나가다
