,album titles,artists,cleaned_sentences
432,B4.DA.$$,Joey Bada$$(조이 배드에스),갈아
433,SremmLife,Rae Sremmurd(레이 쉬리머드),
434,The Pinkprint,Nicki Minaj(니키 미나즈),
435,2014 Forest Hills Drive,J. Cole(제이콜),없이 없이
436,Cadillactica,Big K.R.I.T.(빅 크릿),특히 그야말로
437,Under Pressure (Deluxe),Logic(로직),적어도
438,Honest,Future(퓨처),골고루 적어도
439,My Krazy Life (Deluxe),YG(와이지),대번에
440,Oxymoron (Deluxe),Schoolboy Q(스쿨보이 큐),
441,because the internet,Childish Gambino(차일디시 감비노),그만큼
442,Old,Danny Brown(대니 브라운),한껏
443,Nothing Was The Same (Deluxe),Drake(드레이크),
444,Hall Of Fame,Big Sean(빅 션),오랫동안
445,Trap Lord,A$AP Ferg(에이셉 퍼그),열심히 열심히
446,Stay Trippy (Deluxe),Juicy J(쥬시 제이),
447,Trials & Tribulations (Deluxe),Ace Hood(에이스 후드),드디어 없이 드디어
448,Magna Carta... Holy Grail,JAY-Z(제이지),이미
449,Run The Jewels,Run The Jewels(런 더 주얼스),
450,ESGN - Evil Seeds Grow Naturally,Freddie Gibbs(프레디 깁스),
451,Wolf,"Tyler, The Creator(타일러, 더 크리에이터)",오랜 특히
452,Long.Live.A$AP [Deluxe Explicit ver.],A$AP Rocky(에이셉 라키),끝없이
453,Finally Rich,Chief Keef(치프 키프),
454,Dreams And Nightmares [Deluxe ver.],Meek Mill(미크 밀),
455,"Good Kid, m.A.A.d City [Deluxe ver.]",Kendrick Lamar(켄드릭 라마),
456,The Heist,Macklemore(맥클모어) & Ryan Lewis(라이언 루이스),조금씩
457,Kanye West Presents Good Music Cruel Summer,Various Artists,그해 그야말로
458,Based On A T.R.U. Story,2 Chainz(투체인즈),특히
459,"God Forgives, I Don't (Deluxe Edition)",Rick Ross(릭 로스),
460,진아식당 Full Course,이진아,이미 이미 그만큼
461,Matilda (Original London Cast Recording),Original London Cast Of Matilda - The Musical,그해 그야말로 많이 없이 특히 없이 지극히
462,Maratea,Leo Stannard(레오 스태너드),특히
463,닿는 순간,창모(CHANGMO),이른바
